"","lab","w"
"1","SPY",0.000594883997620464
"2","IVV",0.000594883997620464
"3","EFA",0.000594883997620464
"4","VTI",0.000594883997620464
"5","VWO",0.000594883997620464
"6","QQQ",0.000594883997620464
"7","EEM",0.000594883997620464
"8","VOO",0.000594883997620464
"9","IWF",0.000594883997620464
"10","GLD",0.000594883997620464
"11","VEA",0.000594883997620464
"12","BND",0.000594883997620464
"13","VNQ",0.000594883997620464
"14","IWM",0.000594883997620464
"15","IWD",0.000594883997620464
"16","IJH",0.000594883997620464
"17","AGG",0.000594883997620464
"18","LQD",0.000594883997620464
"19","VIG",0.000594883997620464
"20","HEDJ",0.000594883997620464
"21","EWJ",0.000594883997620464
"22","VUG",0.000594883997620464
"23","VTV",0.000594883997620464
"24","XLF",0.000594883997620464
"25","DXJ",0.000594883997620464
"26","MDY",0.000594883997620464
"27","HYG",0.000594883997620464
"28","IJR",0.000594883997620464
"29","BSV",0.000594883997620464
"30","DVY",0.000594883997620464
"31","XLE",0.000594883997620464
"32","VEU",0.000594883997620464
"33","VGK",0.000594883997620464
"34","TIP",0.000594883997620464
"35","SDY",0.000594883997620464
"36","XLV",0.000594883997620464
"37","PFF",0.000594883997620464
"38","XLK",0.000594883997620464
"39","IWR",0.000594883997620464
"40","IVW",0.000594883997620464
"41","VO",0.000594883997620464
"42","JNK",0.000594883997620464
"43","DIA",0.000594883997620464
"44","DBEF",0.000594883997620464
"45","RSP",0.000594883997620464
"46","IWB",0.000594883997620464
"47","VB",0.000594883997620464
"48","VYM",0.000594883997620464
"49","CSJ",0.000594883997620464
"50","EZU",0.000594883997620464
"51","XLY",0.000594883997620464
"52","VCSH",0.000594883997620464
"53","AMLP",0.000594883997620464
"54","SHY",0.000594883997620464
"55","IBB",0.000594883997620464
"56","IVE",0.000594883997620464
"57","IEMG",0.000594883997620464
"58","XLP",0.000594883997620464
"59","XLI",0.000594883997620464
"60","FXI",0.000594883997620464
"61","VGT",0.000594883997620464
"62","EWG",0.000594883997620464
"63","IWS",0.000594883997620464
"64","IEF",0.000594883997620464
"65","IWO",0.000594883997620464
"66","GDX",0.000594883997620464
"67","MBB",0.000594883997620464
"68","ACWI",0.000594883997620464
"69","XLU",0.000594883997620464
"70","IAU",0.000594883997620464
"71","TLT",0.000594883997620464
"72","IWV",0.000594883997620464
"73","CIU",0.000594883997620464
"74","IWP",0.000594883997620464
"75","IWN",0.000594883997620464
"76","VV",0.000594883997620464
"77","BIV",0.000594883997620464
"78","BKLN",0.000594883997620464
"79","AMJ",0.000594883997620464
"80","VBR",0.000594883997620464
"81","IEFA",0.000594883997620464
"82","IJK",0.000594883997620464
"83","VCIT",0.000594883997620464
"84","SLV",0.000594883997620464
"85","VHT",0.000594883997620464
"86","RWX",0.000594883997620464
"87","SPLV",0.000594883997620464
"88","EMB",0.000594883997620464
"89","FEZ",0.000594883997620464
"90","SCHB",0.000594883997620464
"91","IYR",0.000594883997620464
"92","USMV",0.000594883997620464
"93","MUB",0.000594883997620464
"94","HDV",0.000594883997620464
"95","IDV",0.000594883997620464
"96","AAXJ",0.000594883997620464
"97","SJNK",0.000594883997620464
"98","PRF",0.000594883997620464
"99","VXUS",0.000594883997620464
"100","VBK",0.000594883997620464
"101","VDE",0.000594883997620464
"102","IEI",0.000594883997620464
"103","SCZ",0.000594883997620464
"104","EWY",0.000594883997620464
"105","OEF",0.000594883997620464
